word,decade,n
beat,1980s,111
ya,1970s,85
baby,1960s,65
da,1970s,53
call,1980s,50
chain,1960s,44
love,1960s,42
gonna,1970s,40
light,1970s,38
gonna,1980s,30
girl,1980s,27
time,1980s,24
freak,1980s,23
funk,1970s,22
ooh,1960s,22
world,1970s,22
ya,1980s,22
yeah,1960s,22
love,1980s,21
rock,1980s,21
baby,1980s,20
buh,1960s,20
hada,1970s,20
love,1970s,20
bang,1980s,19
boogie,1980s,19
baby,1970s,18
red,1980s,18
soul,1960s,18
stop,1980s,18
super,1980s,17
ha,1970s,16
prayer,1980s,16
wanna,1980s,16
corvette,1980s,15
midnight,1970s,15
ooh,1970s,15
party,1980s,15
train,1970s,15
flash,1970s,14
woo,1970s,14
hip,1980s,13
leaving,1970s,13
meet,1970s,13
music,1960s,13
oo,1980s,13
hide,1960s,12
iai,1960s,12
y'all,1980s,12
agin,1970s,11
billie,1980s,11
echo,1960s,11
elf,1970s,11
falettinme,1970s,11
fight,1980s,11
hee,1980s,11
mice,1970s,11
rebel,1960s,11
rhythm,1980s,11
1999,1980s,10
age,1980s,10
dance,1980s,10
dancing,1960s,10
dee,1970s,10
defeated,1980s,10
dream,1980s,10
gonna,1960s,10
jean's,1980s,10
leave,1960s,10
live,1970s,10
lover,1980s,10
street,1960s,10
strong,1980s,10
body,1980s,9
deep,1960s,9
floor,1980s,9
funky,1980s,9
georgia,1970s,9
hour,1960s,9
leave,1980s,9
matter,1980s,9
midnight,1960s,9
pop,1980s,9
rockin,1980s,9
run,1960s,9
showin,1980s,9
son,1980s,9
wrong,1980s,9
ya,1960s,9
break,1980s,8
day,1980s,8
dun,1980s,8
eyes,1980s,8
fast,1980s,8
fun,1960s,8
gee,1980s,8
girls,1980s,8
gotta,1980s,8
ground,1980s,8
hippie,1980s,8
hop,1980s,8
kid,1980s,8
master,1980s,8
night,1980s,8
tonight,1980s,8
uh,1970s,8
world,1980s,8
yeah,1970s,8
yeah,1980s,8
anytime,1980s,7
call,1970s,7
color,1980s,7
da,1980s,7
dance,1970s,7
dawn,1980s,7
fly,1980s,7
girl's,1980s,7
guess,1980s,7
hear,1980s,7
hey,1980s,7
hoo,1980s,7
hot,1960s,7
summertime,1960s,7
told,1980s,7
voice,1980s,7
wait,1960s,7
alive,1980s,6
chance,1960s,6
dance,1960s,6
days,1960s,6
dooby,1960s,6
feel,1980s,6
feet,1980s,6
food,1980s,6
girl,1960s,6
hank,1980s,6
hay,1980s,6
heart,1960s,6
ho,1970s,6
home,1980s,6
hotel,1980s,6
huh,1960s,6
life,1980s,6
makes,1980s,6
mike,1980s,6
mind,1980s,6
motel,1980s,6
people,1980s,6
pretty,1980s,6
run,1980s,6
sha,1960s,6
slow,1980s,6
stop,1970s,6
sucker,1980s,6
summer,1960s,6
throw,1980s,6
trick,1970s,6
uh,1980s,6
arms,1960s,5
burning,1960s,5
called,1980s,5
comin,1980s,5
darlin,1960s,5
day,1970s,5
fools,1960s,5
friend,1980s,5
friends,1980s,5
guess,1970s,5
inside,1960s,5
love's,1970s,5
mine,1970s,5
mother,1980s,5
move,1980s,5
neon,1970s,5
push,1970s,5
rhyme,1980s,5
round,1980s,5
scene,1980s,5
sing,1980s,5
singin,1980s,5
spot,1970s,5
starts,1980s,5
there'll,1960s,5
til,1980s,5
till,1960s,5
wrong,1970s,5
accept,1960s,4
board,1970s,4
boop,1960s,4
bye,1960s,4
care,1980s,4
careful,1980s,4
chai,1960s,4
claims,1980s,4
cynthia,1960s,4
doin,1980s,4
folks,1960s,4
guy,1960s,4
heard,1980s,4
holland,1960s,4
honey,1980s,4
hour,1980s,4
house,1980s,4
inside,1980s,4
kinky,1980s,4
knees,1980s,4
ladies,1980s,4
live,1960s,4
lose,1970s,4
makin,1980s,4
mcs,1980s,4
mic,1980s,4
midnight,1980s,4
mind,1970s,4
mistrust,1970s,4
mother,1970s,4
mystery,1980s,4
na,1960s,4
oooh,1970s,4
oops,1980s,4
ow,1980s,4
people,1960s,4
picket,1970s,4
power,1980s,4
real,1970s,4
rest,1980s,4
ride,1970s,4
rule,1980s,4
sounds,1980s,4
sun,1970s,4
thousand,1980s,4
throw,1960s,4
true,1970s,4
whatcha,1980s,4
1,1980s,3
act,1980s,3
actin,1980s,3
ah,1970s,3
air,1980s,3
backup,1960s,3
bad,1960s,3
begin,1970s,3
blind,1960s,3
boogity,1980s,3
breaking,1980s,3
bring,1970s,3
brother,1970s,3
bubbah,1980s,3
bust,1980s,3
chicka,1980s,3
choice,1980s,3
cold,1980s,3
cover,1980s,3
cry,1980s,3
damn,1980s,3
danced,1980s,3
day,1960s,3
de,1980s,3
def,1980s,3
delight,1980s,3
die,1980s,3
double,1980s,3
doves,1980s,3
dreamin,1980s,3
dreaming,1970s,3
drive,1980s,3
em,1980s,3
everybody's,1970s,3
everyday,1960s,3
fade,1960s,3
fear,1970s,3
feelin,1980s,3
feeling,1970s,3
feels,1980s,3
forget,1960s,3
found,1970s,3
freaky,1980s,3
gas,1970s,3
gettin,1980s,3
gimme,1980s,3
girl,1970s,3
goin,1980s,3
grab,1960s,3
hair,1960s,3
hearts,1980s,3
heat,1980s,3
hey,1970s,3
hold,1960s,3
holiday,1980s,3
hot,1980s,3
inn,1980s,3
kiss,1980s,3
lay,1970s,3
life,1970s,3
line,1980s,3
looked,1980s,3
losing,1970s,3
loving,1970s,3
matter,1960s,3
movin,1980s,3
night,1960s,3
oj,1980s,3
ooo,1980s,3
outta,1980s,3
people,1970s,3
playing,1960s,3
rap,1980s,3
rappin,1980s,3
red,1970s,3
rhymes,1980s,3
ride,1980s,3
round,1970s,3
scooby,1960s,3
shake,1970s,3
shock,1980s,3
simpler,1970s,3
sky,1980s,3
sleep,1970s,3
slip,1970s,3
stand,1980s,3
start,1970s,3
start,1980s,3
street,1970s,3
street,1980s,3
strokes,1960s,3
takes,1970s,3
taste,1980s,3
til,1960s,3
till,1980s,3
time,1970s,3
tryin,1970s,3
vicious,1980s,3
viciously,1980s,3
wanna,1960s,3
wha,1960s,3
world,1960s,3
worry,1970s,3
wrong,1960s,3
x2,1970s,3
2,1980s,2
3,1980s,2
4,1980s,2
add,1960s,2
advice,1980s,2
affair,1980s,2
alibi,1980s,2
anyplace,1980s,2
appelle,1980s,2
ate,1980s,2
babe,1960s,2
bad,1980s,2
beat,1960s,2
beatin,1970s,2
begins,1960s,2
bite,1980s,2
black,1980s,2
blow,1980s,2
bold,1980s,2
bomb,1980s,2
boyfriend,1980s,2
break,1960s,2
brian,1960s,2
brother,1980s,2
brown,1980s,2
brutality,1970s,2
bush,1970s,2
buttered,1980s,2
car,1980s,2
chains,1960s,2
chiamami,1980s,2
chicago,1960s,2
child,1980s,2
chorus,1980s,2
city,1960s,2
clientele,1980s,2
close,1980s,2
closed,1980s,2
clothes,1980s,2
coming,1960s,2
compatible,1980s,2
confusing,1970s,2
cool,1980s,2
count,1970s,2
country,1960s,2
county,1960s,2
crowd,1960s,2
dare,1980s,2
darling,1980s,2
definite,1980s,2
demanding,1980s,2
dibbie,1980s,2
doo,1980s,2
door,1980s,2
dozier,1960s,2
dreams,1970s,2
dress,1980s,2
drummer,1960s,2
easy,1960s,2
edward,1960s,2
ev'ry,1960s,2
ev'rywhere,1960s,2
extra,1980s,2
fair,1960s,2
father,1970s,2
father,1980s,2
feast,1980s,2
feel,1970s,2
feelin,1960s,2
feet,1960s,2
fine,1970s,2
finesse,1980s,2
forty,1980s,2
freddie,1960s,2
free,1960s,2
free,1980s,2
glass,1970s,2
god,1980s,2
goin'a,1960s,2
greg,1960s,2
groove,1980s,2
guaranteed,1980s,2
hands,1980s,2
happy,1960s,2
hard,1970s,2
head,1980s,2
hear,1960s,2
heart,1970s,2
heart,1980s,2
heaven,1980s,2
helluva,1980s,2
holds,1960s,2
home,1960s,2
horses,1980s,2
huh,1970s,2
hurtin,1960s,2
hurts,1960s,2
ill,1980s,2
jr,1960s,2
jump,1980s,2
kissing,1960s,2
lamont,1960s,2
late,1980s,2
left,1970s,2
lie,1980s,2
lights,1970s,2
limousine,1980s,2
lines,1970s,2
link,1960s,2
live,1980s,2
lost,1970s,2
lover's,1980s,2
loving,1960s,2
magazines,1980s,2
mama,1980s,2
masterpiece,1980s,2
meet,1980s,2
mellow,1980s,2
met,1960s,2
mine,1980s,2
moi,1980s,2
money,1980s,2
muse,1980s,2
nose,1970s,2
ohhhhh,1980s,2
orleans,1960s,2
ow,1960s,2
peace,1970s,2
phase,1980s,2
picture,1980s,2
plate,1980s,2
play,1960s,2
play,1980s,2
pleasing,1970s,2
pocket,1980s,2
proud,1960s,2
punish,1970s,2
purple,1980s,2
read,1980s,2
ready,1980s,2
reason,1960s,2
records,1960s,2
remember,1980s,2
repeat,1960s,2
reporter,1980s,2
rich,1980s,2
ride,1960s,2
rocks,1980s,2
roll,1980s,2
runnin,1980s,2
satisfied,1980s,2
saturday,1980s,2
sayin,1980s,2
school,1960s,2
