word,decade,n
yeah,1960s,224
na,1960s,201
hey,1960s,119
love,1960s,108
shout,1960s,89
baby,1950s,76
ah,1960s,72
love,1980s,68
rock,1950s,63
baby,1960s,60
hey,1980s,59
baby,1980s,55
love,1950s,53
feel,1960s,51
la,1960s,51
bit,1960s,50
bop,1960s,48
jude,1960s,46
shack,1980s,45
naa,1960s,44
wanna,1960s,38
ch,1970s,36
gonna,1960s,36
bye,1950s,34
girl,1960s,33
gonna,1950s,33
people,1960s,33
girls,1960s,31
life,2000s,31
lifting,1960s,31
lust,2000s,31
night,1960s,31
time,1970s,31
gimme,1960s,30
hey,1970s,30
peggy,1950s,30
time,1960s,28
rock,1980s,27
shake,1950s,27
wop,1960s,27
yeah,1970s,27
bang,1980s,26
generation,1960s,26
ooh,1960s,26
sue,1950s,26
aw,1950s,25
frutti,1950s,25
home,1960s,25
load,1960s,25
rock,1970s,25
rutti,1950s,25
tutti,1950s,25
gonna,1970s,24
la,1970s,24
law,1960s,24
lovin,1960s,23
wooo,1960s,23
bop,1950s,22
bout,1960s,22
fire,1960s,22
ooo,1960s,22
talkin,1960s,22
woman,1960s,22
california,1960s,21
day,1960s,21
future,1970s,21
gotta,1960s,21
rollin,1960s,21
hand,1960s,20
hold,1960s,20
life,1960s,20
lonely,1950s,20
pretty,1960s,20
true,1950s,20
hey,1950s,19
sound,1960s,19
tonight,1950s,19
blue,1950s,18
day,1950s,18
gas,1960s,18
joe,1960s,18
wanna,1970s,18
world,1960s,18
johnny,1950s,17
lord,1970s,17
mind,1960s,17
reach,1960s,17
softer,1960s,17
song,1960s,17
bobby,1970s,16
excitations,1960s,16
louie,1960s,16
love,1970s,16
lula,1950s,16
play,1960s,16
shoes,1950s,16
that'll,1950s,16
vibrations,1960s,16
clock,1950s,15
foxy,1960s,15
hard,1960s,15
home,1970s,15
lobster,1970s,15
mine,1960s,15
tambourine,1960s,15
walk,1960s,15
yeah,1980s,15
baby,1970s,14
caught,1960s,14
city,1980s,14
dig,1960s,14
glad,1960s,14
honey,1960s,14
london,1970s,14
lonely,1960s,14
mine,1950s,14
ooh,1970s,14
son,1970s,14
stay,1980s,14
time,1950s,14
twenty,1980s,14
whoa,1960s,14
calling,1970s,13
car,1980s,13
da,1970s,13
goin,1950s,13
heard,1960s,13
hurry,1980s,13
loves,1960s,13
ma,1960s,13
stop,1980s,13
wanna,1980s,13
won,1960s,13
alright,1960s,12
bam,1980s,12
bambam,1980s,12
da,1980s,12
daa,1970s,12
day,1970s,12
die,1950s,12
doll,1950s,12
eyes,1960s,12
fast,1980s,12
feel,1950s,12
fought,1960s,12
fun,1950s,12
heartbreak,1950s,12
layla,1970s,12
lotta,1960s,12
louder,1960s,12
maybellene,1950s,12
morning,1960s,12
nice,1960s,12
rave,1950s,12
repeats,1980s,12
sedated,1980s,12
son,1960s,12
suede,1950s,12
walk,1970s,12
wanderer,1960s,12
wild,1970s,12
words,1960s,12
ahhh,1960s,11
black,1980s,11
change,1970s,11
crowd,1980s,11
dance,1950s,11
fanny,1960s,11
free,1960s,11
girl,1950s,11
god,1970s,11
grapevine,1960s,11
hit,1980s,11
left,1970s,11
lo,1970s,11
mine,1980s,11
music,1950s,11
papa,1970s,11
preacher,1960s,11
roam,1960s,11
sweet,1980s,11
wanna,1950s,11
yesterday,1960s,11
bad,1960s,10
brown,1960s,10
crazy,1950s,10
easy,1960s,10
fields,1960s,10
goin,1960s,10
goodbye,1950s,10
head,1960s,10
hear,1960s,10
ho,1970s,10
jack,1960s,10
jailhouse,1950s,10
lady,1960s,10
lay,1950s,10
lie,1950s,10
light,1960s,10
lose,1960s,10
ow,1960s,10
rocket,1970s,10
save,1970s,10
stay,1960s,10
stop,1960s,10
strawberry,1960s,10
tomorrow,1960s,10
yeah,1950s,10
baby,1990s,9
born,1960s,9
cry,1950s,9
dancing,1950s,9
denial,1990s,9
die,1960s,9
door,1980s,9
flash,1960s,9
found,1960s,9
giving,1960s,9
gotta,1980s,9
hear,1950s,9
heart,1950s,9
inside,1960s,9
