word,n
love,356
baby,298
yeah,292
hey,219
da,172
gonna,155
time,152
rock,120
life,107
shout,92
wanna,86
hot,84
la,83
doo,81
feel,81
ya,78
night,74
dream,69
people,66
ron,65
stop,63
free,62
girl,62
home,62
stand,61
heart,56
world,55
beat,53
boom,53
day,53
ooh,52
shake,52
dance,51
cry,50
ah,49
tonight,49
light,48
rain,48
gimme,47
mine,47
bang,45
chain,45
shack,45
call,44
gotta,44
mind,44
lonely,43
bye,41
hand,41
woman,41
makes,39
alright,37
music,37
alive,36
ch,36
hear,36
live,36
pretty,36
true,36
friend,35
lord,35
play,35
stuff,35
walk,35
bit,34
change,33
lovin,33
sun,33
black,32
eyes,32
times,32
hold,31
jolene,31
lifting,31
lust,31
red,31
child,30
god,30
leave,30
peggy,30
purple,30
sh,30
sing,30
stay,30
sweet,30
ohh,29
song,29
door,28
goin,28
whoa,28
worry,28
bout,27
lose,27
rockin,27
rollin,27
soul,27
wop,27
die,26
generation,26
stayin,26
til,26
flash,25
funk,25
law,25
roll,25
sue,25
feeling,24
feet,24
girls,24
left,24
round,24
talkin,24
town,24
words,24
born,23
boy,23
easy,23
hard,23
inside,23
mama,23
save,23
wooo,23
fast,22
ha,22
tomorrow,22
wait,22
darling,21
days,21
future,21
joe,21
run,21
sound,21
affair,20
blow,20
blue,20
boogie,20
buh,20
city,20
dum,20
family,20
fool,20
gas,20
hada,20
head,20
heard,20
knock,20
magic,20
na,20
nothin,20
queen,20
reach,20
shot,20
uh,20
wild,20
bad,19
body,19
car,19
living,19
tear,19
chance,18
clock,18
darlin,18
everybody's,18
ground,18
guess,18
morning,18
party,18
son,18
caught,17
feelin,17
hurry,17
river,17
softer,17
tambourine,17
wrong,17
yesterday,17
bobby,16
bop,16
boys,16
crowd,16
fall,16
foxy,16
happy,16
hide,16
hope,16
lo,16
lula,16
ooo,16
sky,16
told,16
twenty,16
corvette,15
fun,15
house,15
late,15
lie,15
lobster,15
lookin,15
louder,15
mmm,15
remember,15
till,15
understand,15
waiting,15
age,14
arms,14
break,14
brother,14
care,14
cold,14
fallin,14
forget,14
guitar,14
hit,14
london,14
looked,14
money,14
pop,14
street,14
tears,14
y'all,14
babe,13
calling,13
dee,13
doll,13
evenin,13
fade,13
fine,13
fly,13
healing,13
hip,13
honey,13
hour,13
lady,13
line,13
meet,13
midnight,13
rattle,13
sexual,13
talk,13
bam,12
bambam,12
called,12
daa,12
dancing,12
dog,12
dreams,12
drive,12
earth,12
em,12
everyday,12
fire,12
fought,12
friends,12
gettin,12
hair,12
hands,12
hours,12
iai,12
knockin,12
loved,12
loving,12
maybellene,12
miss,12
moment,12
mother,12
move,12
rave,12
ready,12
repeats,12
rhythm,12
sedated,12
send,12
spoon,12
stone,12
thrill,12
wanderer,12
won,12
answer,11
blowin,11
carry,11
comin,11
compares,11
control,11
floor,11
glad,11
grown,11
happiness,11
honest,11
hop,11
momma,11
papa,11
pieces,11
pray,11
row,11
set,11
sha,11
sleep,11
smile,11
stars,11
started,11
water,11
wind,11
1999,10
ahhh,10
bird,10
blues,10
bring,10
brown,10
coming,10
cryin,10
dead,10
desolation,10
died,10
father,10
freak,10
gee,10
guy,10
heaven's,10
hurt,10
jack,10
kill,10
knees,10
laughing,10
lean,10
loser,10
lost,10
lover,10
low,10
master,10
pain,10
preacher,10
ride,10
roam,10
rocket,10
sea,10
summer,10
tight,10
train,10
tryin,10
watch,10
women,10
afraid,9
angel,9
anymore,9
bump,9
cool,9
drove,9
echo,9
falling,9
fell,9
folks,9
food,9
fools,9
jump,9
lonesome,9
movin,9
ninety,9
painted,9
satisfaction,9
school,9
soy,9
spoonful,9
starts,9
streets,9
tease,9
throw,9
trouble,9
what'd,9
yay,9
yo,9
aye,8
burnin,8
cadillac,8
clothes,8
crazy,8
cruel,8
dark,8
dawn,8
dear,8
dixie,8
doin,8
eyed,8
found,8
funky,8
gal,8
gloria,8
goodbye,8
hippie,8
ho,8
honky,8
loves,8
makin,8
mcgee,8
opportunity,8
perdedor,8
poor,8
rolling,8
romance,8
running,8
sayin,8
shine,8
sleeping,8
spell,8
spot,8
standing,8
start,8
strange,8
sucker,8
sugar,8
taste,8
thinking,8
tonk,8
wah,8
white,8
wisdom,8
ago,7
air,7
band,7
bed,7
blind,7
bo,7
broke,7
broken,7
choose,7
clown,7
coochie,7
cross,7
dat,7
de,7
december,7
double,7
driving,7
eye,7
followin,7
groove,7
gun,7
hank,7
hat,7
highway,7
hmm,7
hoochie,7
ice,7
jangle,7
jingle,7
job,7
jumping,7
kiss,7
ladies,7
laugh,7
lifetime,7
listen,7
lot,7
man's,7
mary,7
neon,7
o'clock,7
