year,number,artist,title,time,bpm,genre,average_sentiment_yearly
1953,213,Hank Williams,Your Cheatin' Heart,2:42,128.5,Country,-0.3
1954,126,Big Joe Turner,"Shake, Rattle And Roll",3:00,153.0,TBD,0.7777777777777778
1955,151,The Penguins,Earth Angel (Will You Be Mine),2:55,103.8,Slow,1.1515151515151516
1955,158,Bill Haley and His Comets,Rock Around the Clock,2:10,89.9,Rock 1950s,1.1111111111111112
1955,18,Chuck Berry,Maybellene,2:19,118.4,Rock 1950s,1.8666666666666667
1956,164,Johnny Cash,Folsom Prison Blues,2:46,102.6,Country,-0.5714285714285714
1956,19,Elvis Presley,Hound Dog,2:15,88.8,Rock 1950s,-0.2
1956,197,Elvis Presley,Don't Be Cruel,2:04,84.6,Rock 1950s,0.1935483870967742
1956,30,Johnny Cash,I Walk the Line,2:41,106.4,Country,0.4444444444444444
1956,423,Elvis Presley,Blue Suede Shoes,1:59,95.6,Rock 1950s,0
1956,43,Little Richard,Tutti-Frutti,2:22,184.6,Rock 1950s,0.6
1956,45,Elvis Presley,Heartbreak Hotel,2:09,107.8,Rock 1950s,-2
1956,56,Little Richard,Long Tall Sally,2:06,189.8,Rock 1950s,2.5
1956,81,Fats Domino,Blueberry Hill,2:19,125.5,Slow,1.75
1956,90,The Five Satins,In the Still of the Night,3:02,105.4,Slow,2
1956,95,Carl Perkins,Blue Suede Shoes,2:14,85.9,Rock 1950s,0
1957,115,Sam Cooke,You Send Me,2:45,95.7,Slow,2.142857142857143
1957,128,Chuck Berry,Rock & Roll Music,2:31,165.8,Rock 1950s,0.8571428571428571
1957,132,Bo Diddley,Who Do You Love,2:30,114.3,TBD,2.3846153846153846
1957,194,Buddy Holly,Peggy Sue,2:29,148.8,Rock 1950s,1.9655172413793103
1957,207,Everly Brothers,Bye Bye Love,2:15,86.3,Rock 1950s,1.4705882352941178
1957,236,Buddy Holly,Everyday,2:07,136.5,Rock 1950s,2.4375
1957,39,Buddy Holly,That'll Be the Day,2:16,116.3,Rock 1950s,-0.043478260869565216
1957,61,Jerry Lee Lewis,Whole Lotta Shakin' Going On,2:51,121.0,Rock 1950s,1.25
1957,62,Bo Diddley,Bo Diddley,2:20,106.0,TBD,0.5714285714285714
1957,67,Elvis Presley,Jailhouse Rock,2:27,84.2,Rock 1950s,-0.7857142857142857
1957,96,Jerry Lee Lewis,Great Balls of Fire,1:51,161.2,Rock 1950s,1.5833333333333333
1958,141,Everly Brothers,All I Have to Do Is Dream,2:22,96.9,Slow,0.7368421052631579
1958,154,Buddy Holly,Rave On,1:49,159.5,Rock 1950s,1.0588235294117647
1958,195,The Chantels,Maybe,2:52,103.9,TBD,0.6666666666666666
1958,7,Chuck Berry,Johnny B. Goode,2:38,84.1,Rock 1950s,0.6666666666666666
1958,94,Little Richard,Good Golly Miss Molly,2:07,84.4,Rock 1950s,0.96
1959,10,Ray Charles,What'd I Say (Parts 1 And 2),5:06,89.6,Rock 1950s,2.1
1959,157,The Flamingos,I Only Have Eyes for You,3:22,88.6,Slow,1.2857142857142858
1959,193,The Drifters,There Goes My Baby,2:07,119.8,Slow,0.16666666666666666
1959,97,Chuck Berry,Roll Over Beethoven,2:25,92.8,TBD,0.8888888888888888
1960,118,The Isley Brothers,Shout,4:36,138.9,Rock 1960s,1.8651685393258426
1960,12,Sam Cooke,A Change Is Gonna Come,3:13,138.3,TBD,0.3
1960,149,Everly Brothers,Cathy's Clown,2:22,121.3,Rock 1960s,0.4117647058823529
1960,182,The Drifters,Save the Last Dance for Me,2:27,144.2,Slow,1.4
1960,225,Muddy Waters,I'm Your Hoochie Coochie Man,2:52,108.9,TBD,0.5555555555555556
1960,229,Muddy Waters,Mannish Boy,2:58,105.4,TBD,0.19047619047619047
1960,232,Roy Orbison,Only the Lonely (Know How I Feel),2:26,119.9,Slow,-1.0454545454545454
1961,121,Ben E. King,Stand by Me,2:54,108.9,Slow,-1.4285714285714286
1961,125,The Shirelles,Will You Love Me Tomorrow,2:43,125.2,Rock 1960s,2.5714285714285716
1961,238,Patsy Cline,I Fall to Pieces,2:49,111.2,Country,1.5555555555555556
1961,239,Dion,The Wanderer,2:42,114.1,Rock 1960s,1.4375
1961,85,Patsy Cline,Crazy,2:41,110.8,Country,-0.88
1962,113,The Drifters,Up on the Roof,2:37,121.3,Rock 1960s,0.7692307692307693
1962,161,Ray Charles,I Can't Stop Loving You,4:21,107.3,TBD,-0.08
1962,218,John Lee Hooker,Boom Boom,2:10,91.5,TBD,1.125
1963,139,The Beatles,I Saw Her Standing There,2:51,160.7,TBD,2.5
1963,209,The Beach Boys,In My Room,2:15,103.7,TBD,-0.8
1963,22,The Ronettes,Be My Baby,2:37,128.0,Dance 1960s,2
1963,55,The Kingsmen,Louie Louie,2:42,124.0,Rock 1960s,0.25925925925925924
1963,87,Johnny Cash,Ring of Fire,2:38,103.4,Country,-0.8636363636363636
1964,122,The Animals,House of the Rising Sun,4:28,116.7,Slow,-0.8888888888888888
1964,176,The Beach Boys,Don't Worry Baby,2:45,121.8,Slow,-2.111111111111111
1964,222,Roy Orbison,"Oh, Pretty Woman",2:57,127.2,Rock 1960s,1.1470588235294117
1964,34,The Righteous Brothers,You've Lost That Lovin' Feelin',3:41,96.1,Slow,0.8918918918918919
1964,40,Martha Reeves & The Vandellas,Dancing in the Street,2:37,127.5,Dance 1960s,1.1111111111111112
1964,70,Dionne Warwick,Walk on By,2:44,99.3,Slow,-1.3333333333333333
1964,82,The Kinks,You Really Got Me,2:13,138.0,Rock 1960s,0.8
1965,1,Bob Dylan,Like a Rolling Stone,6:04,95.6,Rock 1960s,0.6666666666666666
1965,110,Otis Redding,I've Been Loving You Too Long (To Stop Now),3:13,117.4,TBD,1.0571428571428572
1965,134,Wilson Pickett,In the Midnight Hour,2:36,112.0,Dance 1960s,1.6666666666666667
1965,156,Simon & Garfunkel,The Sounds of Silence,3:04,106.6,Slow,-0.35294117647058826
1965,185,Bob Dylan,Desolation Row,11:20,110.4,TBD,0.10810810810810811
1965,208,Van Morrison with Them,Gloria,2:36,131.1,Rock 1960s,1.3333333333333333
1965,216,The Lovin' Spoonful,Do You Believe in Magic,2:07,138.7,TBD,1.0625
1965,233,The Animals,We Gotta Get Out of This Place,3:10,124.7,Rock 1960s,0.045454545454545456
1965,234,The Byrds,I'll Feel a Whole Lot Better,2:33,134.4,TBD,2.2
1965,71,The Beach Boys,California Girls,2:37,115.9,Rock 1960s,1.1538461538461537
1965,78,James Brown,I Got You,2:46,147.5,Rock 1960s,1.95
1965,79,The Byrds,Mr. Tambourine Man,2:18,122.3,Rock 1960s,-0.7741935483870968
1965,88,The Temptations,My Girl,2:42,105.1,Slow,0.6
1966,11,The Who,My Generation,3:17,97.2,Rock 1960s,-0.5555555555555556
1966,13,The Beatles,Yesterday,2:05,97.6,Rock 1960s,0
1966,137,The Beatles,Eleanor Rigby,2:08,138.3,Rock 1960s,-1.380952380952381
1966,150,The Byrds,Eight Miles High,3:36,122.0,TBD,-0.8333333333333334
1966,153,The Beatles,A Hard Day's Night,2:34,138.8,Rock 1960s,0.19047619047619047
1966,16,The Beatles,I Want to Hold Your Hand,2:26,131.1,Rock 1960s,1.1428571428571428
1966,174,The Rolling Stones,Paint It Black,3:45,159.1,TBD,0.5625
1966,175,The Bobby Fuller Four,I Fought the Law,2:18,148.3,Rock 1960s,2
1966,184,The Beatles,Please Please Me,2:03,139.4,Rock 1960s,1.2592592592592593
1966,206,Four Tops,Reach Out (I'll Be There),3:00,119.7,Rock 1960s,1.225
1966,211,The Beach Boys,"Caroline, No",2:19,152.3,TBD,0.3
1966,23,The Beatles,In My Life,2:27,103.7,Rock 1960s,1.4166666666666667
1966,25,The Beach Boys,God Only Knows,2:52,116.6,TBD,1
1966,29,The Beatles,Help!,2:20,95.2,Rock 1960s,1.5806451612903225
1966,54,Percy Sledge,When a Man Loves a Woman,2:52,97.8,Slow,-0.13333333333333333
1966,6,The Beach Boys,Good Vibrations,3:36,148.8,Rock 1960s,2.948717948717949
1966,64,The Beatles,She Loves You,2:22,149.8,Rock 1960s,0.9827586206896551
1966,83,The Beatles,Norwegian Wood (This Bird Has Flown),2:05,88.7,Rock 1960s,0.6
1966,89,The Mamas & the Papas,California Dreamin',2:39,113.0,Rock 1960s,0.058823529411764705
1967,106,Bob Dylan,Mr. Tambourine Man,5:28,177.5,TBD,-0.7741935483870968
1967,109,Van Morrison,Brown Eyed Girl,3:03,151.1,Rock 1960s,0.8333333333333334
1967,14,Bob Dylan,Blowin' in the Wind,2:46,93.8,TBD,0.08333333333333333
1967,204,Otis Redding,Try a Little Tenderness,3:16,104.1,Slow,0.38095238095238093
1967,220,The Left Banke,Walk Away Renee,2:43,118.3,TBD,-1.5
1967,230,Bob Dylan,Just Like a Woman,4:52,116.3,TBD,0.8285714285714286
1967,244,The Spencer Davis Group,Gimme Some Lovin',2:53,147.5,Rock 1960s,1.5454545454545454
1967,246,Jackie Wilson,(Your Love Keeps Lifting Me) Higher And Higher,2:57,95.4,Rock 1960s,2.260869565217391
1967,35,The Doors,Light My Fire,7:06,125.1,Rock 1960s,-1.3333333333333333
1967,42,The Kinks,Waterloo Sunset,3:17,107.3,TBD,1
1967,5,Aretha Franklin,Respect,2:23,114.5,Rock 1960s,0.23076923076923078
1967,57,Procol Harum,A Whiter Shade of Pale,4:04,148.6,Slow,0.6666666666666666
1967,59,Bob Dylan,The Times They Are A-Changin',3:11,86.1,Rock 1960s,-0.05555555555555555
1967,63,Buffalo Springfield,"For What It's Worth (Stop, Hey What's That Sound)",2:38,99.4,Rock 1960s,-0.29411764705882354
1968,124,The Rolling Stones,Jumpin' Jack Flash,3:40,137.5,Rock 1960s,-0.4444444444444444
1968,129,Steppenwolf,Born to Be Wild,3:28,146.9,Rock 1960s,0.8095238095238095
1968,152,Jimi Hendrix,Foxey Lady,3:16,99.3,Rock 1960s,0.10526315789473684
1968,155,Creedence Clearwater Revival,Proud Mary,3:07,120.4,Rock 1960s,0.6923076923076923
1968,17,Jimi Hendrix,Purple Haze,2:50,110.2,Rock 1960s,0.8421052631578947
1968,192,Glen Campbell,Wichita Lineman,3:04,87.0,Country,0.8333333333333334
1968,198,Jimi Hendrix,Hey Joe,3:27,84.3,Rock 1960s,0.3684210526315789
1968,223,Sly & The Family Stone,Dance to the Music,2:58,128.1,Dance 1960s,1
1968,249,Aretha Franklin,Chain of Fools,2:43,117.0,Dance 1960s,-0.55
1968,28,Otis Redding,(Sittin' On) the Dock of the Bay,2:41,103.3,Slow,0.4
1968,32,The Rolling Stones,Sympathy for the Devil,6:18,116.2,TBD,0.575
1968,41,The Band,The Weight,4:31,144.2,Rock 1960s,-0.07142857142857142
1968,48,Jimi Hendrix,All Along the Watchtower,4:01,114.3,Rock 1960s,1.1666666666666667
1968,65,Cream,Sunshine of Your Love,4:11,115.0,Rock 1960s,1.9333333333333333
1968,80,Marvin Gaye,I Heard It Through the Grapevine,5:03,118.1,Rock 1960s,1.0588235294117647
1969,100,The Rolling Stones,You Can't Always Get What You Want,7:30,91.7,TBD,0.27586206896551724
1969,105,Simon & Garfunkel,The Boxer,5:09,96.2,Rock 1970s,-1.1428571428571428
1969,116,The Rolling Stones,Honky Tonk Woman,3:00,121.2,TBD,0.5
