number,artist,title,bigram
1,Bob Dylan,Like a Rolling Stone,once upon
1,Bob Dylan,Like a Rolling Stone,upon a
1,Bob Dylan,Like a Rolling Stone,a time
1,Bob Dylan,Like a Rolling Stone,time you
1,Bob Dylan,Like a Rolling Stone,you dressed
1,Bob Dylan,Like a Rolling Stone,dressed so
1,Bob Dylan,Like a Rolling Stone,so fine
1,Bob Dylan,Like a Rolling Stone,fine threw
1,Bob Dylan,Like a Rolling Stone,threw the
1,Bob Dylan,Like a Rolling Stone,the bums
1,Bob Dylan,Like a Rolling Stone,bums a
1,Bob Dylan,Like a Rolling Stone,a dime
1,Bob Dylan,Like a Rolling Stone,dime in
1,Bob Dylan,Like a Rolling Stone,in your
1,Bob Dylan,Like a Rolling Stone,your prime
1,Bob Dylan,Like a Rolling Stone,prime didn't
1,Bob Dylan,Like a Rolling Stone,didn't you
1,Bob Dylan,Like a Rolling Stone,you people
1,Bob Dylan,Like a Rolling Stone,people call
1,Bob Dylan,Like a Rolling Stone,call say
1,Bob Dylan,Like a Rolling Stone,say beware
1,Bob Dylan,Like a Rolling Stone,beware doll
1,Bob Dylan,Like a Rolling Stone,doll you're
1,Bob Dylan,Like a Rolling Stone,you're bound
1,Bob Dylan,Like a Rolling Stone,bound to
1,Bob Dylan,Like a Rolling Stone,to fall
1,Bob Dylan,Like a Rolling Stone,fall you
1,Bob Dylan,Like a Rolling Stone,you thought
1,Bob Dylan,Like a Rolling Stone,thought they
1,Bob Dylan,Like a Rolling Stone,they were
1,Bob Dylan,Like a Rolling Stone,were all
1,Bob Dylan,Like a Rolling Stone,all kiddin
1,Bob Dylan,Like a Rolling Stone,kiddin you
1,Bob Dylan,Like a Rolling Stone,you you
1,Bob Dylan,Like a Rolling Stone,you used
1,Bob Dylan,Like a Rolling Stone,used to
1,Bob Dylan,Like a Rolling Stone,to laugh
1,Bob Dylan,Like a Rolling Stone,laugh about
1,Bob Dylan,Like a Rolling Stone,about everybody
1,Bob Dylan,Like a Rolling Stone,everybody that
1,Bob Dylan,Like a Rolling Stone,that was
1,Bob Dylan,Like a Rolling Stone,was hangin
1,Bob Dylan,Like a Rolling Stone,hangin out
1,Bob Dylan,Like a Rolling Stone,out now
1,Bob Dylan,Like a Rolling Stone,now you
1,Bob Dylan,Like a Rolling Stone,you don't
1,Bob Dylan,Like a Rolling Stone,don't talk
1,Bob Dylan,Like a Rolling Stone,talk so
1,Bob Dylan,Like a Rolling Stone,so loud
1,Bob Dylan,Like a Rolling Stone,loud now
1,Bob Dylan,Like a Rolling Stone,now you
1,Bob Dylan,Like a Rolling Stone,you don't
1,Bob Dylan,Like a Rolling Stone,don't seem
1,Bob Dylan,Like a Rolling Stone,seem so
1,Bob Dylan,Like a Rolling Stone,so proud
1,Bob Dylan,Like a Rolling Stone,proud about
1,Bob Dylan,Like a Rolling Stone,about having
1,Bob Dylan,Like a Rolling Stone,having to
1,Bob Dylan,Like a Rolling Stone,to be
1,Bob Dylan,Like a Rolling Stone,be scrounging
1,Bob Dylan,Like a Rolling Stone,scrounging your
1,Bob Dylan,Like a Rolling Stone,your next
1,Bob Dylan,Like a Rolling Stone,next meal
1,Bob Dylan,Like a Rolling Stone,meal how
1,Bob Dylan,Like a Rolling Stone,how does
1,Bob Dylan,Like a Rolling Stone,does it
1,Bob Dylan,Like a Rolling Stone,it feel
1,Bob Dylan,Like a Rolling Stone,feel how
1,Bob Dylan,Like a Rolling Stone,how does
1,Bob Dylan,Like a Rolling Stone,does it
1,Bob Dylan,Like a Rolling Stone,it feel
1,Bob Dylan,Like a Rolling Stone,feel to
1,Bob Dylan,Like a Rolling Stone,to be
1,Bob Dylan,Like a Rolling Stone,be without
1,Bob Dylan,Like a Rolling Stone,without a
1,Bob Dylan,Like a Rolling Stone,a home
1,Bob Dylan,Like a Rolling Stone,home like
1,Bob Dylan,Like a Rolling Stone,like a
1,Bob Dylan,Like a Rolling Stone,a complete
1,Bob Dylan,Like a Rolling Stone,complete unknown
1,Bob Dylan,Like a Rolling Stone,unknown like
1,Bob Dylan,Like a Rolling Stone,like a
1,Bob Dylan,Like a Rolling Stone,a rolling
1,Bob Dylan,Like a Rolling Stone,rolling stone
1,Bob Dylan,Like a Rolling Stone,stone ah
1,Bob Dylan,Like a Rolling Stone,ah you've
1,Bob Dylan,Like a Rolling Stone,you've gone
1,Bob Dylan,Like a Rolling Stone,gone to
1,Bob Dylan,Like a Rolling Stone,to the
1,Bob Dylan,Like a Rolling Stone,the finest
1,Bob Dylan,Like a Rolling Stone,finest school
1,Bob Dylan,Like a Rolling Stone,school all
1,Bob Dylan,Like a Rolling Stone,all right
1,Bob Dylan,Like a Rolling Stone,right miss
1,Bob Dylan,Like a Rolling Stone,miss lonely
1,Bob Dylan,Like a Rolling Stone,lonely but
1,Bob Dylan,Like a Rolling Stone,but you
1,Bob Dylan,Like a Rolling Stone,you know
1,Bob Dylan,Like a Rolling Stone,know you
1,Bob Dylan,Like a Rolling Stone,you only
1,Bob Dylan,Like a Rolling Stone,only used
1,Bob Dylan,Like a Rolling Stone,used to
1,Bob Dylan,Like a Rolling Stone,to get
1,Bob Dylan,Like a Rolling Stone,get juiced
1,Bob Dylan,Like a Rolling Stone,juiced in
1,Bob Dylan,Like a Rolling Stone,in it
1,Bob Dylan,Like a Rolling Stone,it nobody's
1,Bob Dylan,Like a Rolling Stone,nobody's ever
1,Bob Dylan,Like a Rolling Stone,ever taught
1,Bob Dylan,Like a Rolling Stone,taught you
1,Bob Dylan,Like a Rolling Stone,you how
1,Bob Dylan,Like a Rolling Stone,how to
