number,artist,title,trigram
1,Bob Dylan,Like a Rolling Stone,once upon a
1,Bob Dylan,Like a Rolling Stone,upon a time
1,Bob Dylan,Like a Rolling Stone,a time you
1,Bob Dylan,Like a Rolling Stone,time you dressed
1,Bob Dylan,Like a Rolling Stone,you dressed so
1,Bob Dylan,Like a Rolling Stone,dressed so fine
1,Bob Dylan,Like a Rolling Stone,so fine threw
1,Bob Dylan,Like a Rolling Stone,fine threw the
1,Bob Dylan,Like a Rolling Stone,threw the bums
1,Bob Dylan,Like a Rolling Stone,the bums a
1,Bob Dylan,Like a Rolling Stone,bums a dime
1,Bob Dylan,Like a Rolling Stone,a dime in
1,Bob Dylan,Like a Rolling Stone,dime in your
1,Bob Dylan,Like a Rolling Stone,in your prime
1,Bob Dylan,Like a Rolling Stone,your prime didn't
1,Bob Dylan,Like a Rolling Stone,prime didn't you
1,Bob Dylan,Like a Rolling Stone,didn't you people
1,Bob Dylan,Like a Rolling Stone,you people call
1,Bob Dylan,Like a Rolling Stone,people call say
1,Bob Dylan,Like a Rolling Stone,call say beware
1,Bob Dylan,Like a Rolling Stone,say beware doll
1,Bob Dylan,Like a Rolling Stone,beware doll you're
1,Bob Dylan,Like a Rolling Stone,doll you're bound
1,Bob Dylan,Like a Rolling Stone,you're bound to
1,Bob Dylan,Like a Rolling Stone,bound to fall
1,Bob Dylan,Like a Rolling Stone,to fall you
1,Bob Dylan,Like a Rolling Stone,fall you thought
1,Bob Dylan,Like a Rolling Stone,you thought they
1,Bob Dylan,Like a Rolling Stone,thought they were
1,Bob Dylan,Like a Rolling Stone,they were all
1,Bob Dylan,Like a Rolling Stone,were all kiddin
1,Bob Dylan,Like a Rolling Stone,all kiddin you
1,Bob Dylan,Like a Rolling Stone,kiddin you you
1,Bob Dylan,Like a Rolling Stone,you you used
1,Bob Dylan,Like a Rolling Stone,you used to
1,Bob Dylan,Like a Rolling Stone,used to laugh
1,Bob Dylan,Like a Rolling Stone,to laugh about
1,Bob Dylan,Like a Rolling Stone,laugh about everybody
1,Bob Dylan,Like a Rolling Stone,about everybody that
1,Bob Dylan,Like a Rolling Stone,everybody that was
1,Bob Dylan,Like a Rolling Stone,that was hangin
1,Bob Dylan,Like a Rolling Stone,was hangin out
1,Bob Dylan,Like a Rolling Stone,hangin out now
