title,artist,year,genre,time_seconds,bpm,average_sentiment,genre_grouped
(Don't Fear) the Reaper,Blue Oyster Cult,1976,Rock 1970s,303,141.5,-0.25,Rock
(Sittin' On) the Dock of the Bay,Otis Redding,1968,Slow,161,103.3,0.4,Slow
(What A) Wonderful World,Sam Cooke,1960,Rock 1960s,125,128.8,3.42,Rock
(White Man) in Hammersmith Palais,The Clash,1978,TBD,241,102.8,1.1,TBD
(Your Love Keeps Lifting Me) Higher And Higher,Jackie Wilson,1967,Rock 1960s,177,95.4,2.26,Rock
1999,Prince,1983,Dance 1980s,217,119.2,-0.35,Dance
96 Tears,? & The Mysterians,1997,TBD,181,123.6,-0.94,TBD
A Change Is Gonna Come,Sam Cooke,1960,TBD,193,138.3,0.3,TBD
A Day in the Life,The Beatles,1969,Rock 1960s,306,130.3,1,Rock
A Hard Day's Night,The Beatles,1966,Rock 1960s,154,138.8,0.19,Rock
A Whiter Shade of Pale,Procol Harum,1967,Slow,244,148.6,0.67,Slow
Ain't No Sunshine,Bill Withers,2002,TBD,123,159.5,0.06,TBD
Ain't That a Shame,Fats Domino,1955,Rock 1950s,146,123.2,-1.21,Rock
Alison,Elvis Costello,1978,TBD,201,88.6,1.22,TBD
All Along the Watchtower,Jimi Hendrix,1968,Rock 1960s,241,114.3,1.17,Rock
All Apologies,Nirvana,1993,Rock 1990s,226,116.4,0.18,Rock
All I Have to Do Is Dream,Everly Brothers,1958,Slow,142,96.9,0.74,Slow
All Shook Up,Elvis Presley,1957,Rock 1950s,120,147,1.5,Rock
All You Need Is Love,The Beatles,1969,Rock 1960s,228,104.7,2.71,Rock
All the Young Dudes,Mott the Hoople,1972,Rock 1970s,212,154.8,0.92,Rock
Alone Again Or,Love,1967,TBD,196,114.1,1.67,TBD
Anarchy in the U.K.,Sex Pistols,1977,Rock 1970s,212,134.3,-0.8,Rock
Another Brick in the Wall (Part II),Pink Floyd,1980,Rock 1980s,230,104.1,-1.24,Rock
Baba O'Riley,The Who,1971,Rock 1970s,307,116.2,-0.43,Rock
Baby I Need Your Lovin',Four Tops,2005,TBD,164,121.4,-0.5,TBD
Baby Love,The Supremes,1964,Dance 1960s,156,135.8,1.78,Dance
Back in Black,AC/DC,1981,Rock 1980s,256,93.6,0.75,Rock
Bad Moon Rising,Creedence Clearwater Revival,1969,Rock 1960s,139,89.7,-1.53,Rock
Band of Gold,Freda Payne,1984,Rock 1980s,173,106.9,1.1,Rock
Be My Baby,The Ronettes,1963,Dance 1960s,157,128,2,Dance
Beast of Burden,The Rolling Stones,1978,TBD,267,100.9,0.26,TBD
Beat It,Michael Jackson,1983,Dance 1980s,259,138.6,-0.1,Dance
Billie Jean,Michael Jackson,1983,Dance 1980s,294,117,0.17,Dance
Bitter Sweet Symphony,The Verve,1997,TBD,357,85.5,-1,TBD
Bizarre Love Triangle,New Order,1987,Rock 1980s,402,118.4,0.06,Rock
Black Dog,Led Zeppelin,1971,Rock 1970s,294,82.6,0.96,Rock
Blitzkrieg Bop,Ramones,1976,Rock 1970s,132,88.4,-0.6,Rock
Blowin' in the Wind,Bob Dylan,1967,TBD,166,93.8,0.08,TBD
Blue Eyes Crying in the Rain,Willie Nelson,1998,Country,140,116.8,-0.33,Country
Blue Suede Shoes,Carl Perkins,1956,Rock 1950s,134,85.9,0,Rock
Blue Suede Shoes,Elvis Presley,1956,Rock 1950s,119,95.6,0,Rock
Blueberry Hill,Fats Domino,1956,Slow,139,125.5,1.75,Slow
Bo Diddley,Bo Diddley,1957,TBD,140,106,0.57,TBD
Bohemian Rhapsody,Queen,1976,Slow,353,108,-0.59,Slow
Boom Boom,John Lee Hooker,1962,TBD,130,91.5,1.12,TBD
Born in the U.S.A.,Bruce Springsteen,1984,Rock 1980s,277,123.6,0,Rock
Born to Be Wild,Steppenwolf,1968,Rock 1960s,208,146.9,0.81,Rock
Born to Run,Bruce Springsteen,1975,Rock 1970s,270,146.3,0.26,Rock
Both Sides Now,Joni Mitchell,1969,TBD,346,111.3,0.94,TBD
Boys of Summer,Don Henley,1984,Rock 1980s,286,88.5,1.11,Rock
Bridge Over Troubled Water,Simon & Garfunkel,1970,Slow,291,87.2,0,Slow
Bring the Noise,Public Enemy,2005,TBD,227,110.2,-0.27,TBD
Brown Eyed Girl,Van Morrison,1967,Rock 1960s,183,151.1,0.83,Rock
Brown Sugar,The Rolling Stones,1971,Rock 1970s,226,128.3,1.6,Rock
Buddy Holly,Weezer,1994,Rock 1990s,160,121.2,1.32,Rock
By the Time I Get to Phoenix,Glen Campbell,2001,TBD,166,87.6,-0.5,TBD
Bye Bye Love,Everly Brothers,1957,Rock 1950s,135,86.3,1.47,Rock
C'Mon Everybody,Eddie Cochran,1959,Rock 1950s,116,87.8,-0.67,Rock
California Dreamin',The Mamas & the Papas,1966,Rock 1960s,159,113,0.06,Rock
California Girls,The Beach Boys,1965,Rock 1960s,157,115.9,1.15,Rock
California Love,2Pac,1996,R&B 1990s,287,91.5,0.81,R&B
Call Me,Blondie,1980,Dance 1980s,212,142,2.67,Dance
Can't Buy Me Love,The Beatles,1966,Rock 1960s,133,85.3,1.47,Rock
Can't Help Falling in Love,Elvis Presley,1961,Slow,180,114.2,1.22,Slow
Candle in the Wind,Elton John,1974,Rock 1970s,228,124.7,0.9,Rock
"Caroline, No",The Beach Boys,1966,TBD,139,152.3,0.3,TBD
Cathy's Clown,Everly Brothers,1960,Rock 1960s,142,121.3,0.41,Rock
Chain of Fools,Aretha Franklin,1968,Dance 1960s,163,117,-0.55,Dance
Changes,David Bowie,1972,Rock 1970s,214,114,-0.25,Rock
Chapel of Love,The Dixie Cups,1964,Rock 1960s,165,125.7,1.56,Rock
Come Go With Me,The Dell-Vikings,1957,Rock 1950s,159,125.2,1.35,Rock
Come Together,The Beatles,1969,Rock 1960s,258,82.8,0.63,Rock
Come as You Are,Nirvana,1991,Rock 1990s,217,120.9,-0.95,Rock
Comfortably Numb,Pink Floyd,1980,Slow,381,127,-0.35,Slow
Complete Control,The Clash,1977,TBD,193,87.4,-0.25,TBD
Cortez the Killer,Neil Young,1977,TBD,452,113.9,-0.67,TBD
Crazy,Patsy Cline,1961,Country,161,110.8,-0.88,Country
Crossroads,Cream,1994,Rock 1980s,253,131.6,1.5,Rock
Crying,Roy Orbison,2006,TBD,167,97.1,-0.85,TBD
Cupid,Sam Cooke,1960,TBD,151,120.1,0.56,TBD
Da Doo Ron Ron,The Crystals,1992,TBD,138,147.6,1.25,TBD
Dance to the Music,Sly & The Family Stone,1968,Dance 1960s,178,128.1,1,Dance
Dancing Barefoot,Patty Smyth,1992,TBD,256,116.9,0.21,TBD
Dancing Queen,ABBA,1977,Disco,232,100.4,1.38,Disco
Dancing in the Street,Martha Reeves & The Vandellas,1964,Dance 1960s,157,127.5,1.11,Dance
Desolation Row,Bob Dylan,1965,TBD,680,110.4,0.11,TBD
