year,average_sentiment_yearly,average_time_seconds,average_bpm,num_songs
1953,-0.30000000000000004,162,128.5,1
1954,0.7777777777777779,180,153,1
1955,1.3333333333333335,158.42105263157896,105.44736842105263,3
1956,0.06617647058823566,137.74264705882354,115.42573529411766,10
1957,1.4247787610619482,137.4867256637168,124.80929203539822,11
1958,0.853932584269663,134.04494382022472,105.3865168539326,5
1959,0.931818181818182,183.29545454545456,102.45,4
1960,1.0106382978723398,214.60638297872333,130.43882978723403,7
1961,0.5774647887323946,163.91549295774647,114.24647887323944,5
1962,0.4814814814814817,197.14814814814815,105.9888888888889,3
1963,0.17910447761194054,158.53731343283582,118.44925373134329,5
1964,-0.07189542483660075,184.5294117647059,113.90849673202615,7
1965,0.725694444444445,249.548611111111,120.703125,13
1966,0.964102564102566,160.36666666666662,129.68410256410255,19
1967,0.25263157894736726,232.81403508771933,119.32280701754387,14
1968,0.5438596491228065,241.23245614035085,116.55307017543859,15
1969,0.63768115942029,266.83333333333314,113.7330917874396,20
1970,0.49090909090909063,228.45454545454544,121.81636363636363,7
1971,0.22314049586776868,245.66115702479343,119.14628099173554,7
1972,0.4319999999999996,316.04,111.4992,6
1973,0.8160919540229883,301.8850574712644,91.78275862068965,5
1974,-0.1875,320.5416666666667,139.1364583333333,4
1975,0.28767123287671237,330.0273972602739,145.93561643835616,3
1976,0.10389610389610322,292.2987012987013,122.47272727272725,3
1977,0.6514285714285716,269.91428571428577,125.20228571428572,7
1978,0.6904761904761908,235,108.3,2
1979,1.0568181818181823,228.75,118.54886363636365,4
1980,0.6941176470588233,335.28235294117655,119.8029411764706,4
1981,-0.11340206185567038,384.6907216494845,99.16907216494845,2
1982,1.3404255319148934,225.72340425531917,98.8531914893617,2
1983,0.05405405405405395,268.5135135135135,119.17837837837838,4
1984,0.3589743589743589,291.0769230769231,121.57692307692308,2
1985,0.3578947368421051,233.31578947368425,130.88947368421051,3
1987,0.17857142857142858,354.92857142857144,112.41428571428571,3
1988,0.9636363636363636,323.43636363636364,114.15636363636364,2
1989,1.875,297.57291666666663,115.62604166666665,2
1990,0.28260869565217395,436.6086956521739,120.44130434782609,2
1991,0.5140186915887853,227.79439252336454,112.63271028037383,5
1992,0.9,238.46666666666664,105.8,2
1993,1,313,118.6,1
1994,-0.24324324324324342,246.18918918918922,93.85675675675677,3
1997,-0.9393939393939394,181,123.6,1
1998,1.1875,265.5,102.6,2
1999,3,136,97.5,1
2000,0.10344827586206895,216.72413793103448,110.29310344827586,3
2002,-0.051282051282051405,171.92307692307693,124.63076923076923,2
2003,0.3333333333333332,193.82456140350877,136.5298245614035,3
2004,0.6842105263157896,284,131.9,1
2005,0.3486238532110091,258.41284403669727,149.26513761467888,3
2006,-0.846153846153846,167,97.1,1
