number,artist,title,time,bpm,year,genre,track,track_gen,block,decade
1,Bob Dylan,Like a Rolling Stone,6M 4S,95.6,1965,Rock 1960s,POWERTRK_155-14,POWERTRK_155,Top 100,1960s
2,The Rolling Stones,Satisfaction,3M 43S,134.7,1985,Rock 1980s,ESSENTLS_012-13,ESSENTLS_012,Top 100,1980s
3,John Lennon,Imagine,3M 2S,152.6,1971,Slow,POWERTRK_023-07,POWERTRK_023,Top 100,1970s
4,Marvin Gaye,What's Going On,3M 47S,101.5,1971,Dance 1970s,POWERTRK_085-07,POWERTRK_085,Top 100,1970s
5,Aretha Franklin,Respect,2M 23S,114.5,1967,Rock 1960s,POWERTRK_046-16,POWERTRK_046,Top 100,1960s
6,The Beach Boys,Good Vibrations,3M 36S,148.8,1966,Rock 1960s,POWERTRK_032-08,POWERTRK_032,Top 100,1960s
7,Chuck Berry,Johnny B. Goode,2M 38S,84.1,1958,Rock 1950s,POWERTRK_021-12,POWERTRK_021,Top 100,1950s
8,The Beatles,Hey Jude,7M 8S,146.9,1969,Rock 1960s,BEATLES__BLA-13,BEATLES__BLA,Top 100,1960s
9,Nirvana,Smells Like Teen Spirit,5M 1S,117.5,1991,Rock 1990s,POWERTRK_022-01,POWERTRK_022,Top 100,1990s
10,Ray Charles,What'd I Say (Parts 1 And 2),5M 6S,89.6,1959,Rock 1950s,POWERTRK_071-16,POWERTRK_071,Top 100,1950s
11,The Who,My Generation,3M 17S,97.2,1966,Rock 1960s,POWERTRK_043-14,POWERTRK_043,Top 100,1960s
12,Sam Cooke,A Change Is Gonna Come,3M 13S,138.3,1960,TBD,DTRANDOM_005-16,DTRANDOM_005,Top 100,1960s
13,The Beatles,Yesterday,2M 5S,97.6,1966,Rock 1960s,BEATLES__RDA-13,BEATLES__RDA,Top 100,1960s
14,Bob Dylan,Blowin' in the Wind,2M 46S,93.8,1967,TBD,HOTSTUFF_026-19,HOTSTUFF_026,Top 100,1960s
15,The Clash,London Calling,3M 18S,134.3,1979,Rock 1970s,POWERTRK_084-13,POWERTRK_084,Top 100,1970s
16,The Beatles,I Want to Hold Your Hand,2M 26S,131.1,1966,Rock 1960s,BEATLES__RDA-05,BEATLES__RDA,Top 100,1960s
17,Jimi Hendrix,Purple Haze,2M 50S,110.2,1968,Rock 1960s,POWERTRK_042-13,POWERTRK_042,Top 100,1960s
18,Chuck Berry,Maybellene,2M 19S,118.4,1955,Rock 1950s,POWERTRK_095-13,POWERTRK_095,Top 100,1950s
19,Elvis Presley,Hound Dog,2M 15S,88.8,1956,Rock 1950s,POWERTRK_023-06,POWERTRK_023,Top 100,1950s
20,The Beatles,Let It Be,3M 52S,137.4,1969,Rock 1960s,BEATLES__BLB-12,BEATLES__BLB,Top 100,1960s
21,Bruce Springsteen,Born to Run,4M 30S,146.3,1975,Rock 1970s,POWERTRK_090-08,POWERTRK_090,Top 100,1970s
22,The Ronettes,Be My Baby,2M 37S,128,1963,Dance 1960s,POWERTRK_162-14,POWERTRK_162,Top 100,1960s
23,The Beatles,In My Life,2M 27S,103.7,1966,Rock 1960s,BEATLES__RDB-09,BEATLES__RDB,Top 100,1960s
24,The Impressions,People Get Ready,2M 38S,120.4,2003,TBD,DTRANDOM_002-18,DTRANDOM_002,Top 100,2000s
25,The Beach Boys,God Only Knows,2M 52S,116.6,1966,TBD,DTRANDOM_006-02,DTRANDOM_006,Top 100,1960s
26,The Beatles,A Day in the Life,5M 6S,130.3,1969,Rock 1960s,BEATLES__BLA-06,BEATLES__BLA,Top 100,1960s
27,Derek & The Dominos,Layla,7M 4S,115.2,1972,Rock 1970s,POWERTRK_024-01,POWERTRK_024,Top 100,1970s
28,Otis Redding,(Sittin' On) the Dock of the Bay,2M 41S,103.3,1968,Slow,POWERTRK_044-13,POWERTRK_044,Top 100,1960s
29,The Beatles,Help!,2M 20S,95.2,1966,Rock 1960s,BEATLES__RDB-01,BEATLES__RDB,Top 100,1960s
30,Johnny Cash,I Walk the Line,2M 41S,106.4,1956,Country,POWERTRK_026-17,POWERTRK_026,Top 100,1950s
31,Led Zeppelin,Stairway to Heaven,7M 59S,99.7,1971,Slow,POWERTRK_046-10,POWERTRK_046,Top 100,1970s
32,The Rolling Stones,Sympathy for the Devil,6M 18S,116.2,1968,TBD,DTRANDOM_003-06,DTRANDOM_003,Top 100,1960s
33,Tina Turner,River Deep - Mountain High,3M 40S,102.9,1991,Rock 1980s,TINATURN_GH1-09,TINATURN_GH1,Top 100,1990s
34,The Righteous Brothers,You've Lost That Lovin' Feelin',3M 41S,96.1,1964,Slow,POWERTRK_042-16,POWERTRK_042,Top 100,1960s
35,The Doors,Light My Fire,7M 6S,125.1,1967,Rock 1960s,POWERTRK_025-15,POWERTRK_025,Top 100,1960s
36,U2,One,4M 35S,90.6,1992,Slow,POWERTRK_017-10,POWERTRK_017,Top 100,1990s
37,Bob Marley & The Wailers,No Woman No Cry,7M 7S,157.7,1974,Reggae,POWERTRK_042-01,POWERTRK_042,Top 100,1970s
38,The Rolling Stones,Gimme Shelter,4M 32S,118.9,1969,TBD,DTRANDOM_004-16,DTRANDOM_004,Top 100,1960s
39,Buddy Holly,That'll Be the Day,2M 16S,116.3,1957,Rock 1950s,POWERTRK_050-02,POWERTRK_050,Top 100,1950s
